"song_index","Title","release_date","text"
130,"Don't Let Me Down And Down",1993-04-05,"Still I keep my love for you No place to hide no way to fall Nowhere to lie no world so wide I'm sick and tired of telling you Don't let me down and down and down Don't let me down and down and down I know there's something in the wind That crazy balance of my mind What kind of fool are you and I? Scared to death and tell me why I'm sick and tired of telling you Don't let me down and down and down Don't let me down and down and down Still I keep my love for you You made a date with destiny You jog-jog in my memory You haunt in mind no fade away I'm sick and tired of telling you Don't let me down and down and down Don't let me down and down and down Don't let me down and down and down I'm sick and tired of telling you Still I keep my love for you No place to hide no way to fall Nowhere to lie no world so wide I'm sick and tired of telling you Don't let me down and down and down Don't let me down and down and down Still I keep my love for you Don't let me down and down and down I'm sick and tired of telling you Don't let me down, ma! don't let me down, don't let me down Nowhere to hide no place to fall Still I keep my love for you Still I keep my love for you Well there's no place to hide, nowhere to fall"
135,"Drive-In Saturday",1973-04-06,"Let me put my arms around your head Gee it's hot, let's go to bed Don't forget to turn on the light Don't laugh babe, it'll be alright Pour me out another phone I'll ring and see if your friends are home Perhaps the strange ones in the dome Can lend us a book we can read up alone And try to get it on like once before When the people stared in Jagger's eyes and scored Like the video films we saw His name was always Buddy And he'd shrug and ask to stay She'd sigh like Twig the Wonder Kid And turn her face away She's uncertain if she likes him But she knows she really loves him It's a crash course for the ravers It's a Drive-in Saturday Jung the foreman prayed at work Neither hands nor limbs would burst It's hard enough to keep formation, mid this fall out saturation Cursing at the Astronette That stands in steel by his cabinet He's crashing out with Sylvian Bureau supply for ageing men With snorting head he gazes to the shore The once that raged the sea that raged no more Like the video films we saw His name was always Buddy And he'd shrug and ask to stay And she'd sigh like Twig the Wonder Kid And turn her face away She's uncertain if she likes him But she knows she really loves him It's a crash course for the ravers It's a Drive-in Saturday yeah Drive-in Saturday, it's a Drive-in Saturday It's a Drive-in Saturday It's a, yes sir, do do etc, yes sir, you love me, you etc"
138,"Eight Line Poem",1971-12-17,"Tactful cactus by your window Surveys the prairie of your room Mobile spins to its collision Clara puts her head between her paws They've opened shops down West side While the cacti find a home But the key to the city Is in the sun that pins the branches to the sky Ohh-woh-o"
141,"Fame",1975-07-25,"Fame, makes a man take things over Fame, lets him loose, hard to swallow Fame, puts you there where things are hollow Fame Fame, not your brain, it's just the flame That burns yourself to keep you insane Fame Fame, what you like is in the limo Fame, what you get there's no tomorrow Fame, what you need you have to borrow Fame Fame, ""Nien! It's mine!"" is just his line To find yourself in Liverpool, crime Fame Ribbly de da bay, ribbly be Ribbly be, ribbit, ribbly bay Ribbly de da bay, ribbly bay Ribbly bay, ribbly bay Is it any wonder I'll reject you first? Fame, fame, fame, fame Is it any wonder you're far too cool to fool Fame Fame, bully for you, chilly for me Gotta get a rain check on pain Fame Fame, fame, fame, fame, fame, fame, fame, fame, fame, fame Fame, fame, fame, fame, fame, fame, fame, fame, fame, fame Fame, fame, fame Fame What's your name? Sing Fame"
142,"Fame '90 (remix)",1990-03-20,"Fame, makes a man take things over Fame, lets him loose, hard to swallow Fame, puts you there where things are hollow Fame Fame, not your brain, it's just the flame That burns yourself to keep you insane Fame Fame-f-fame Fame, what you like is in the limo Fame, what you get is no tomorrow Fame, what you need you have to borrow Fame Fame, ""Nien! It's mine!"" is just his line To find yourself in Liverpool, crime Fame Fame Ribbly de da bay, ribbly be Ribbly be, ribbit, ribbly bay Ribbly de da bay, ribbly bay Ribbly bay, ribbly bay Is it any wonder I reject you first? Fame, fame, fame, fame Is it any wonder you are too cool to fool Fame Fame-f-fame Fame, bully for you, chilly for me Gotta get a rain check on pain Fame Fame, fame, fame, fame, fame, fame, fame, fame, fame, fame Fame, fame, fame, fame, fame, fame, fame, fame, fame, fame Fame, fame, fame Fame What's your name? Sing Fame"
143,"Fantastic Voyage",1979-05-18,"In the event that this fantastic voyage Should turn to erosion and we never get old Remember it's true, dignity is valuable But our lives are valuable too We're learning to live with somebody's depression And I don't want to live with somebody's depression We'll get by, I suppose It's a very modern world, but nobody's perfect It's a moving world, but that's no reason To shoot some of those missiles Think of us as fatherless scum It won't be forgotten 'Cos we'll never say anything nice again, will we? And the wrong words make you listen In this criminal world Remember it's true, loyalty is valuable But our lives are valuable too We're learning to live with somebody's depression And I don't want to live with somebody's depression We'll get by I suppose But any sudden movement I've got to write it down They wipe out an entire race and I've got to write it down But I'm still getting educated but I've got to write it down And it won't be forgotten 'Cos I'll never say anything nice again, how can I?"
144,"Fascination",1975-03-07,"Ain't got to use her Every time I feel fascination I just can't stand still, got to use her Every time I think of what you pulled me through, dear Fascination moves sweeping near me Still I take ya CHORUS fascination fascination takes a part of me can a heartbeat live in the fever? fascination oh yeah takes a part of me I can't help it got to use her Fascination comes around Your soul is calling Like when I'm walking She's there everywhere I turn I hope you're waiting for me I know that people think That I'm a little crazy Ohh, there's this sexless thing Like, like fascination Still I take it CHORUS Ad-lib"
146,"Fill Your Heart",1971-12-17,"Fill your heart with love today Don't play the game of time Things that happened in the past Only happened in your mind Only in your mind - ohh forget your mind And you'll be free - yeah The writing's on the wall Free - yeah, and you can know it all If you choose - just remember Lovers never lose 'Cos they are free of thoughts unpure And of thoughts unkind Gentleness clears the soul Love cleans the mind And makes it free - free Oh happiness is happening The dragons have been bled Gentleness is everywhere Fear's just in your head Only in your head Fear is in your head Only in your head So forget your head And you'll be free The writing's on the wall Free - yeah, and you can know it all If you choose, just remember Lovers never lose 'Cos they are free of thoughts unpure And of thoughts unkind Gentleness clears the soul Love will clean your mind And make you free!!! Free - yea' - yeah-yeah-yeah, yeah-yeah-yeah Free - yea'"
147,"Five Years",1972-06-16,"Pushing thru' the market square, so many mothers sighing News had just come over, we had five years left to cry in News guy wept and told us, Earth was really dying Cried so much his face was wet, then I knew he was not lying I heard telephones, opera house, favourite melodies I saw boys, toys, electric irons and TV's My brain hurt like a warehouse, it had no room to spare I had to cram so many things to store everything in there And all the fat-skinny people, and all the tall-short people And all the nobody people, and all the somebody people I never thought I'd need so many people A girl my age went off her head, hit some tiny children If the black hadn't a-pulled her off, I think she would have killed them A soldier with a broken arm, fixed his stare to the wheels of a Cadillac A cop knelt and kissed the feet of a priest, and a queer threw up at the sight of that I think I saw you in an ice-cream parlour, drinking milk shakes cold and long Smiling and waving and looking so fine, don't think you knew you were in this song And it was cold and it rained so I felt like an actor And I thought of Ma and I wanted to get back there Your face, your ace, the way that you talk I kiss you, you're beautiful, I want you to walk We've got five years, stuck on my eyes Five years, what a surprise We've got five years, my brain hurts a lot Five years, that's all we've got We've got five years, what a surprise Five years, stuck on my eyes We've got five years, my brain hurts a lot Five years that's all we've got We've got five years, stuck on my eyes Five years, what a surprise We've got five years, my brain hurts a lot Five years, that's all we've got We've got five years, what a surprise We've got five years, stuck on my eyes We've got five years, my brain hurts a lot Five years that's all we've got Five years, five years, five years, five years"
149,"Friday On My Mind",1973-10-19,"Monday morning feels so bad Everybody seems to nag me Coming Tuesday I feel better Even my old man looks good Wednesday just don't go Thursday goes too slow I've got Friday on my mind CHORUS Gonna have fun in the city Be with my girl she's so pretty She looks fine tonight She is outta sight to me  I spend my bread  I'll lose my head  I've got to get tonight Monday I'll have Friday on my mind Do the five day drag once more Know of nothing else that bugs me More than working for the rich men Hey I'll change that scene one day Today I might be mad Tomorrow I'll be glad 'Cos I'll have Friday on my mind CHORUS Gonna have fun Be with my girl"
154,"Future Legend",1974-04-24,"And in the death As the last few corpses lay rotting on the slimy thoroughfare The shutters lifted an inch in Temperance Building High on Poacher's Hill And red mutant eyes gazed down on Hunger City No more big wheels Fleas the size of rats sucked on rats the size of cats And ten thousand peoploids split into small tribes Coveting the highest of the sterile skyscrapers Like packs of dogs assaulting the glass fronts of Love Me Avenue Ripping and rewrapping mink and shiny silver fox, now legwarmers Family badge of sapphire and cracked emerald Any day now The Year of the Diamond Dogs"
156,"Get Real",1995-11-20,"Oh hideous year We angels of lead We're dead, we're sick Hanging by thread Get real Get real You can't stop meaningful teenage cries From deep behind fifty year old eyes Get real Get real CHORUS I'm scared to touch Too tense to be undone I walk the streets Not expecting morning sun Against the voice of doom Failures fall all over town I guess I should, I feel I should Get real Get real What's up? What happened when I wasn't around? Who did what? What went down? Get real Get real Think about myself it happens to me It happens in the tunnel when I let myself feel Get real Get real CHORUS I feel it all through breakdowns falling all over town I feel I should, I guess I should Get real Get real Get real Get real The dazzle of light The rape of life The seed, the curse The jazz of life Get real Get real Get real Get real"
160,"Glass Spider",1987-04-20,"Up until one century ago there lived In the Zi Duang provence of eastern country A glass-like spider Having devoured its prey it would drape the skeletons over its web In weeks creating a macabre shrine of remains Its web was also unique in that it had many layers Like floors of a building At the top of this palace-like place, assembled with almost apparent care Were tiny, shining objects, glass, beads, dew-drops One could almost call it an altar When the breeze blew through this construction It produced sounds of wailing, crying Tiny wails, tiny cries The baby spiders would get scared and search frantically for their mother But the Glass Spider would have long gone Having known that the babies would survive somehow on their own Oh the Glass Spider had blue eyes almost like a human's They shed tears at the wintered turn of the centuries Don't you hear this wasted cry? Life is over you But you've seen who's in Heaven. Is there anyone in hell? Ah ah ah ah Ah ah ah ah ahh Take care, take care Mummy come back 'cos the water's all gone Somewhere she glows divine. Somewhere she wakes alone But do you promise in your lovin' eye. God it's dark now Jah Jah Jah Jah Jah Jah Jah Jah Jah Jah Jah Jah Jah Jah Jah Gone, gone the water's all gone Mummy come back 'cos the water's all gone Stay low on the ground, the fire can drive you, savage and afraid Speeding at the dawn, come along before the animals awake Gone, gone, the water's all gone Mummy come back 'cos it's dark now Run, run, moving all night, rivers to the left If your mother don't love you then the riverbed might Gone, gone, the water's all gone Mummy come back 'cos the water's all gone Jah Jah Jah Jah Jah Jah Jah Jah Jah Jah Gone, gone the water's all gone Mummy come back 'cos the water's all gone Gone, gone the water's all gone Mummy come back 'cos the water's all gone Gone, gone the water's all gone Mummy come back 'cos the water's all gone Mummy come back 'cos it's dark now Ah ah ah ah Ah ah ah ah ahh Mummy come back 'cos the water's all gone Jah Jah Jah Jah Jah Jah Jah Jah Jah Jah Mummy come back 'cos it's dark now Jah Jah Jah Jah Jah Jah Jah Jah Jah Jah Mummy come back 'cos the water's all gone Jah Jah Jah Jah Jah Jah Jah Jah Jah Jah Mummy come back 'cos it's dark now Ah ah ah ah Ah ah ah ah ahh Mummy come back 'cos it's dark now"
164,"God Knows I'm Good",1969-11-14,"I was walking through the counters of a national concern And a cash machine was spitting by my shoulder And I saw the multitude of faces, honest, rich and clean As the merchandise exchanged and money roared And a woman hot with worry slyly slipped a tin of stewing steak Into the paper bag at her side And her face was white with fear in case her actions were observed So she closed her eyes to keep her conscience blind Crying ""God knows I'm good God knows I'm good God knows I'm good God may look the other way today God knows I'm good God knows I'm good God knows I'm good God may look the other way today"" Then she moved toward the exit clutching tightly at her paper bag Perspiration trickled down her forehead And her heart it leapt inside her as the hand laid on her shoulder She was led away bewildered and amazed Through her deafened ears the cash machines were shrieking on the counter As her escort asked her softly for her name And a crowd of honest people rushed to help a tired old lady Who had fainted to the whirling wooden floor Crying ""God knows I'm good God knows I'm good God knows I'm good Surely God won't look the other way God knows I'm good God knows I'm good God knows I'm good Surely God won't look the other way"""
166,"Golden Years",1975-11-21,"Golden years, gold whop whop whop Golden years, gold whop whop whop Golden years, gold whop whop whop Don't let me hear you say life's taking you nowhere, angel Come get up my baby Look at that sky, life's begun Nights are warm and the days are young Come get up my baby There's my baby, lost that's all Once I'm begging you save her little soul Golden years, gold whop whop whop Come get up my baby Last night they loved you, opening doors and pulling some strings, angel Come get up my baby In walked luck and you looked in time Never look back, walk tall, act fine Come get up my baby I'll stick with you baby for a thousand years Nothing's gonna touch you in these golden years, gold Golden years, gold whop whop whop Come get up my baby Some of these days, and it won't be long Gonna drive back down where you once belonged In the back of a dream car twenty foot long Don't cry my sweet, don't break my heart Doing all right, but we gotta get smart Wish upon, wish upon, day upon day, I believe oh Lord I believe all the way Come get up my baby There's my baby, lost that's all Once I'm begging you save her little soul Golden years, gold whop whop whop Come get up my baby Don't let me hear you say life's taking you nowhere, angel Come get up my baby Run for the shadows, run for the shadows Run for the shadows in these golden years I'll stick with you baby for a thousand years Nothing's gonna touch you in these golden years, gold Golden years, gold whop whop whop"
173,"Hallo Spaceboy",1995-09-25,"Keep going baby Keep going baby Keep going baby Baby Spaceboy, you're sleepy now Your silhouette is so stationary You're released but your custody calls And I wanna be free Don't you wanna be free? Do you like girls or boys? It's confusing these days But Moondust will cover you Cover you This chaos is killing me CHORUS So bye bye love Yeah bye bye love Bye bye love Yeah bye bye love This chaos is killing me - Hallo Spaceboy, you're sleepy now Your silhouette so stationary You're released but your custody calls And I wanna be free Don't you wanna be free? Do you like girls or boys? It's confusing these days But Moondust will cover you, cover you And the chaos is killing me Yeah bye bye love - So bye bye love  - Yeah bye bye love So bye bye love This chaos is killing me  - This chaos is killing me - Yeah bye bye love - Bye bye love - Good time love - Sweet sweet dove - Bye bye spaceboy - Bye bye love - Moondust will cover you -"
175,"Hang On To Yourself",1972-06-16,"Oh she's a tongue twisting storm, come to the show tonight Praying to the light machine She wants my honey not my money she's a funky-thigh collector Layin' on 'lectric dreams CHORUS Well come on, come on, we've really got a good thing going Well come on, well come on, if you think we're gonna make it You better hang on to yourself Oh we can't dance, we don't talk much, we just ball and play But then we move like Tigers on Vaseline Well the bitter comes out better on a stolen guitar You're the blessed, we're the Spiders from Mars - yeahhh Well come on, well come on, we've really got a good thing going Well come on, well come on, if you think we're gonna make it You better hang on to yourself Come on, oh Lay it on Come on, come on, we've really got a good thing going Well come on, well come on, if you think we're gonna make it You better hang on to yourself Well come on, come on, we've really got a good thing going Well come on, well come on, if you think we're gonna make it You better hang on to yourself Come on, ah, come on, ah"
180,"Heathen (The Rays)",2002-06-11,"Steel on the skyline Sky made of glass Made for a real world All things must pass Oo-o Waiting for something Looking for someone Is there no reason? Have I stared too long? Oo-o, Oo-o You say you'll leave me And when the sun is low And the rays high I can see it now I can feel it die Oo-o, Oo-o"
185,"Here Comes The Night",1973-10-19,"Ohhhhh... here it comes Here comes the night Yeah, here comes the night Oh, yeah I can see right out my window walking down the street my girl With another guy His arms around her like it used to be with me Oh it makes me want to die CHORUS Yeah, here it comes Here comes the night Yeah, here comes the night Yeah... There they go, funny how they look so good together Wonder what is wrong with me? Why can't I accept the fact she's chosen him And simply let them be? CHORUS Here it comes Here comes the night Here comes the night Yeah... Oh she's with him he's turning down the lights But now he's holding her the way I used to do I can see her closing her eyes and telling him lies Exactly like she told me too CHORUS Oh here it comes Here comes the night Oh, here, here comes the night Yeah... Here, here comes the night"
187,"Here Today, Gone Tomorrow",1990-10-31,"You're like a sailor with a girl on every shore Stay with her now for they won't see you no more Like a Gypsy forever on the run Stay for a while you look for a whore Like that sailor leaves, come back again Stay for a while and they won't see you again Like that Gypsy caravan, forever on the run You stay for a while, then you pick up and go CHORUS That's how you show your love for me That's how you show your love for me, you're like Here today, gone tomorrow Each time you come, you leave a little sorrow, you're like Here today, gone tomorrow Each time you come, you leave a little sorrow You're like that big big star that's torn the town apart Leaving everyone to console their aching heart Like that snow that fell, looks so wrong and out of place Stay for a while and then you leave without a trace That's 'xactly like that star that tore the town apart Leaving everyone to console their aching heart Like that snow that fell, looks so wrong and out of place Stay for a while leave without a trace That's how you show your love for me That's how you show your love for me Here today, gone tomorrow Each time you come, you leave a little sorrow, you're like Here today, gone tomorrow Each time you stay, you leave a little sorrow Here today, gone tomorrow, hmmm You're like Here today, gone tomorrow Each time you come, you leave a little sorrow Here today, gone tomorrow Each time you come, you leave a little sorrow Here today baby Here today, but gone tomorrow"
188,"""Heroes""",1977-09-23,"I, I will be king And you, you will be queen Though nothing will drive them away We can beat them, just for one day We can be Heroes, just for one day And you, you can be mean And I, I'll drink all the time 'Cos we're lovers, and that is a fact Yes we're lovers, and that is that Though nothing, will keep us together We could steal time, just for one day We can be Heroes, for ever and ever What d'you say? I, I wish you could swim Like the dolphins, like dolphins can swim Though nothing, nothing will keep us together We can beat them, for ever and ever Oh we can be Heroes, just for one day I, I will be king And you, you will be queen Though nothing will drive them away We can be Heroes, just for one day We can be us, just for one day I, I can remember Standing, by the wall And the guns, shot above our heads And we kissed, as though nothing could fall And the shame, was on the other side Oh we can beat them, for ever and ever Then we could be Heroes, just for one day We can be Heroes We can be Heroes We can be Heroes Just for one day We can be Heroes We're nothing, and nothing will help us Maybe we're lying, then you better not stay But we could be safer, just for one day Oh-oh-oh-ohh, oh-oh-oh-ohh, just for one day"
200,"How Lucky You Are",2022-12-07,"VERSE When you speak you speak to me When you sleep you sleep by me When you wake you wake with me When you walk you follow two steps behind In life, shadow stalking, ever grasping sinking for a lead It wasn't love it was the fix of never wanting me Now I'm gone, you're tossing and you're turning in your sleep That's the name of the game, of the game, of the game Cry, Miss Peculiar You'll cry all the more, now I'm gone I was the monkey on your back Take a look at how lucky you are VERSE Cry, cry, Miss Peculiar You'll cry all the more, now I'm gone I was the monkey on your back Take a look at how lucky you are Some days are heaven, I will not deny Probing the daylight cascading the skyline Tripping and diving and losing it all Back came the night time, claiming for more Cry, cry, Miss Peculiar You'll cry all the more, now I'm gone I was the devil monkey on your back Take a look at how lucky you are VERSE"
207,"I Am With Name",1995-09-25,"I was Ramona A. Stone I started with no enemies of my own I was an artiste In a tunnel But I've been having a midi-life crisis And I've been dreaming of sleep And ape men with metal parts I've spat upon deeply felt age I've hid my hearts in And I hate the funny coloured English We'll creep together you and I For I know who the small friends are I am with name, I am with name I am Ramona A. Stone A night fear female Good timing drone I am with name, I am with name I am with name, I am with name I am Ramona A. Stone And she should say: ""twitch and stream"" It'll end in chrome The night of the female good time drone I am with name I am Ramona A. Stone And she should say I am with name I am Ramona A. Stone A person who loses her name Feels anxiety descending Left at the crossroads, between the centuries A millennium fetish I am with name, I am with name I am Ramona A. Stone I am with name Night fear female Good timing drone I am with name I am Ramona A. Stone Anxiety descending Anxiety descending"
209,"I Can't Explain",1973-10-19,"A new feeling inside It's a certain kind I feel hot and cold Down my soul, baby I can't explain Going out of my mind Dizzy in the head, and I'm feeling blue Things you say well maybe they're true I get funny dreams again and again Know what it means, but Can't explain I think it's love Say it to you When I feel blue I can't explain, no, I can't explain You know I can't explain I'm going out of my mind Well I'm a worried guy But I can't explain"
213,"I Feel Free",1993-04-05,"Dear when I dance with you We move like the sea You, you're all I want to know I feel free I feel free I can walk down the street There's no one there The pavement is one huge crowd I can drive down the road My eyes can't see But my mind wants to cry out loud I can walk down the street There's no one there The pavement is one huge crowd I can drive down the road My eyes can't see But my mind wants to cry out loud My mind wants to cry out loud I feel free Dance floor is like the sea The ceiling is the sky You're the sun, and as you shine on me I feel free I feel free I feel free"
216,"I Have Not Been To Oxford Town",1995-09-25,"Baby Grace is the victim She was fourteen years of age And the wheels are turning, turning For the finger points at me But I have not been to Oxford Town No I have not been to Oxford Town Toll the bell Pay the private eye All's well Twentieth century dies And the prison priests are decent My attorney seems sincere I fear my days are numbered Lord get me out of here, here All's well But I have not been to Oxford Town All's well But I have not been to Oxford Town Toll the bell Pay the private eye All's well The Twentieth century dies This is your shadow on my wall This is my flesh and blood This is what I could've been And the wheels are turning and turning As this twentieth century dies If I had not ripped the fabric If time had not stood still If I had not met Ramona If I'd only paid my bill All's well I have not been to Oxford Town All's well But I have not been to Oxford Town Toll the bell Pay the private eye All's well Twentieth century dies This is my bunk with two sheets This is my food though foul This is what I could have been Toll the bell Pay the private eye All's well Twentieth century dies Toll the bell Pay the private eye All's well Twentieth century dies All's well Twentieth century dies All's well All's well, all's well Toll the bell Pay the private eye All's well Twentieth century dies Toll the bell Pay the private eye All's well Twentieth century dies"
218,"I Keep Forgettin'",1984-09-24,"I keep forgettin' you don't love me no more I keep forgettin' you don't want me no more I keep forgettin' that you told me that you Didn't want me around any more But these stupid old feet Just head for your street Like they've done so many times before And this stubborn old fist On the end of my wrist Keeps a knocking on your front door I keep forgettin' you don't love me no more I keep forgettin' you don't want me no more I keep forgettin' bout those heartbreaking nights And those heartbreaking things That you said Though I know in my heart We're drifting apart I can't believe that our love is dead Though it's plain as can be That you're finished with me I just can't get it through my head"
219,"I Know It's Gonna Happen Someday",1993-04-05,"My love wherever you are Whatever you are, don't lose faith I know it's gonna happen someday To you Please wait Please wait Wait, don't lose faith You say that the day never arrives And it's never seemed so far away But I know it's gonna happen someday To you Please wait Please wait Wait, don't lose faith Please wait Please wait Please, don't lose faith Don't lose faith You say that the day never arrives And it seems so far away But I know it's gonna happen someday Someday to you To you Please wait"
224,"I Pray, Olé",1991-09-27,"Let's say goodbye till tomorrow With a word sincere How do you make it through the night? I hope to God you're still here I pray, olé Can you make, can you make it through? Can you make, can you make it through, can you make it through? Can you make, can you make it through? Can you make, can you make it through? Can you make, can you make it through? Can you make, can you make it through, can you make it through? Can you make, can you make it through? I pray, olé It's a God eat God world It's a dog's tomorrow And the song on the wind Brings nothing back sorrow I pray, olé, I pray, olé, I pray, olé Can you make, can you make it through? Can you make, can you make it through, can you make it through? Can you make, can you make it through? Can you make, can you make it through, can you make it? Can you make, can you make it through? Can you make, can you make it through, can you make it through? Can you make, can you make it through? Can you make, can you make it through, can you make it? Ba, ba, ba-ba bah, bah, ba-ba bah"
225,"I Took A Trip On A Gemini Spaceship",2002-06-11,"Took a trip on a Gemini spacecraft And I thought about you I passed through the shadow of Jupiter And I thought about you I shot my spacegun Boy, really felt blue Two or three flying saucers Parked under the stars Winding scream Moon shining down On some little town And with each beam The same old dream I took a trip on a Gemini spacecraft And I thought about you Well I shot my spacegun And I thought about you Pulled down my sun visor Boy, I really felt blue You jumped into your Gemini Jumped into mine We'll orbit the Moon For just one time Tomorrow night Tomorrow night Will you hold hands With me under the moonlight? Took a trip on a Gemini spacecraft And I thought about you I shot my spacegun And I thought about you I took, I took a walk in space Boy, I, I really felt blue Well I peeped through the crack And I look way back Stardust trail Leading back to you What did I do? What could I do? Yes what did I do? Well I thought about you I thought about you Took a trip on a Gemini spacecraft And I thought about you"
228,"I Wish You Would",1973-10-19,"CHORUS Early in the morning by the break of day That's when my baby went away Come back baby I wish you would This crying and grieving won't do me no good Hugging and a-kissing, late at night You know pretty baby it feels just right Come back baby what you're trying to do? Turning on me and some other man too Come back baby gimme me one more chance You know I still love you gonna give you romance Yeah, romance, all night long In my arms, oh yeah, oh CHORUS Hey pretty baby I love you so You know pretty baby it hurts me to see you go Oh yeah, oh yeah, oh yeah, oh, yeah"
229,"I Would Be Your Slave",2002-06-11,"Walking in the snowy street Let me understand Drifting down a silent path Stumbling over land Open up your heart to me Show me who you are And I would be your slave Do you sleep in quietude? Do you walk in peace? Do you laugh out loud at me? But no one else is free Open up your heart to me Show me all you are And I would be your slave I don't sit and wait I don't give a damn I don't see the point at all No footprints in the sand I bet you laugh out loud at me A chance to strike me down Give me peace of mind at last Show me all you are Open up your heart to me I would be your slave I don't sit around and wait I don't give a damn I don't see the point at all No footprints in the sand I will give you all my love Nothing else is free Open up your heart to me And I would be your slave"
233,"I'm Afraid Of Americans",1997-10-14,"Uh-uh-uh uh, uh, uh-uh uh-uh-uh Johnny's in America, low tech's at the wheel Uh-uh-uh uh, uh, uh-uh uh-uh-uh No-one needs anyone, they don't even just pretend Uh-uh-uh uh, uh, uh-uh uh-uh-uh Johnny's in America CHORUS I'm afraid of Americans I'm afraid of the world I'm afraid I can't help it I'm afraid I can't I'm afraid of Americans Johnny's in America Uh-uh-uh uh, uh, uh-uh uh-uh-uh Johnny wants a brain, Johnny wants to suck on a Coke Johnny wants a woman, Johnny wants to think of a joke Uh-uh-uh uh, uh, uh-uh uh-uh-uh Johnny's in America Uh-uh-uh uh, uh, uh-uh uh-uh-uh CHORUS I'm afraid of Americans Uh-uh-uh uh, uh, uh-uh uh-uh-uh Johnny's in America, Johnny looks up at the stars Johnny combs his hair and Johnny wants pussy in cars Johnny's in America, uh-uh-uh uh, uh, uh-uh uh-uh-uh Johnny's in America, uh-uh-uh uh, uh, uh-uh uh-uh-uh CHORUS I'm afraid of Americans God is an American God is an American CHORUS Yeah, I'm afraid of Americans I'm afraid of the words I'm afraid I can't help it I'm afraid I can't I'm afraid of Americans Johnny's in America Johnny's in America Johnny's in America, uh-uh-uh uh, uh, uh-uh uh-uh-uh"
234,"I'm Deranged",1995-09-25,"Funny how secrets travel I'd start to believe if I were to bleed Thin sky, the man chains his hands held high The cruise me blond Cruise me babe A blond beneath beyond beyond beyond No return, no return I'm deranged Deranged my love I'm deranged down down down So cruise me babe cruise me baby CHORUS And the rain sets in It's the angel-man I'm deranged Cruise me, cruise me, cruise me babe The clutch of life and the fist of love Over your head Big deal Salaam Be real deranged Salaam Before we reel I'm deranged CHORUS Cruise me, cruise me, cruise me babe I'm deranged"
239,"I've Been Waiting For You",2002-06-11,"I've been looking for a woman to save my life Not to beg or to borrow A woman with the feeling of losing once or twice Who knows how it could be, be tomorrow? I've been waiting for you And you've been coming to me For such a long time now For such a long time now A woman with the feeling losing once or twice Who knows how it could be, be tomorrow? I've been waiting for you And you've been coming to me For such a long time now For such a long time now For such a long time now For such a long time now"
241,"If I'm Dreaming My Life",1999-10-04,"VERSE Was she never there/here? Was she ever? Was it air she breathed? At the wrong time Oh-oh Oh-oh All the flowers so From the gallery With the hymns of night Singing ""Come to me"" CHORUS At the wrong time On the wrong day All the lights are fading now If I'm dreaming all my life Just one living chance When the mother sighs When the father steps aside At the wrong time Oh-oh VERSE CHORUS Was she ever? Was she ever here? If I'm dreaming all my life If I'm dreaming all my life away Dreaming my life Dreaming my Dreaming my Dreaming my Dreaming my life Dreaming my life away Oh-oh REPEAT Dreaming my life Dreaming my Dreaming my life away Oh-oh"
254,"It's Gonna Be Me",1991-05-14,"Hey Jack I better shake it off. Put her out of my head Thinking I balled just another young girl last night Oh brother! I left a woman in that morning bed Been on that trip so many times Good God! Was it really yesterday? I've tried so many, many, many, many, many, many ways I've lied and taken off into the day Leaving another girl to weep over the breakfast tray Loved her before I knew her name, hit me Jack, 'cos I'm Gonna love her way CHORUS Come back, my babe Be holy again, I gave her Ooh, maybe, maybe Gotta give her, ooh baby, baby That kind of love Can only destroy, I gave her Ooh maybe, maybe Get it down if I'm gonna be her baby, 'cos Gonna be me There was no rein to check me When all of those little things walked on by Oh! But I couldn't really stammer out a word When that angel stuck in my mind Oooooh, looking for love won't hold me back I'm gonna love her way CHORUS Just playing that latest record Waiting for the telephone to ring Wiped out and bitter with a bag clutched in her hand All the cars sound like they're pulling in the drive Hmmm, no, no, no I see her now A little tear running down her cheek Lost, let down People looking for me I want to race down her street And knock hard, hard, hard on the door until Until she breaks down into my arms like a Treasured toy and I feel her pain I'll be so strong, again and again Come back my baby I'm hold you again, I'll take you Ooh, baby, baby, baby We're gonna have, ooh baby, baby My kind of love Can only bring you joy, I'm gonna Yeah, baby Yeah, I'll give you baby, baby 'Cos it's gonna be me Hmmmm"
